tau,prob_actions,results
0.5,"[0.16769819291985819, 0.04804633669632494, 0.130603483965645, 0.006502364585278793, 0.09358148553140652, 0.10692908878180075, 0.18227184498198606, 0.07921501729045105, 0.13060348396564508, 0.006502364585278793, 0.04804633669632494]","([38], [4], [2], [57])"
0.5,"[0.161711316802401, 0.046331067970465746, 0.12594090015721787, 0.006270228206437736, 0.12594090015721793, 0.103111688029038, 0.17576468508593993, 0.0763870172571603, 0.12594090015721793, 0.006270228206437736, 0.046331067970465746]","([39], [6], [1], [58])"
0.5,"[0.17019087011167733, 0.048760500668805114, 0.13254478291457797, 0.006599016168771782, 0.13254478291457805, 0.10851848993221015, 0.13254478291457805, 0.0803924746226468, 0.13254478291457805, 0.006599016168771782, 0.048760500668805114]","([40], [4], [2], [60])"
0.5,"[0.16533887186693708, 0.047370379897329805, 0.12876604288211319, 0.006410883780431073, 0.15727519993358385, 0.10542471925974434, 0.12876604288211327, 0.07810055293787341, 0.12876604288211327, 0.006410883780431073, 0.047370379897329805]","([41], [5], [2], [62])"
0.5,"[0.16156766862661165, 0.04628991207904188, 0.12582902684542632, 0.006264658362215032, 0.15368792044561388, 0.1258290268454264, 0.1258290268454264, 0.07631916266355514, 0.1258290268454264, 0.006264658362215032, 0.04628991207904188]","([42], [2], [1], [63])"
0.5,"[0.16335385354685636, 0.04680166262677133, 0.11616477270821472, 0.006333916267538488, 0.1553869920993501, 0.12722010906002332, 0.12722010906002332, 0.07716289667688912, 0.12722010906002332, 0.006333916267538488, 0.04680166262677133]","([43], [8], [2], [65])"
0.5,"[0.15552624028985024, 0.044559013880672654, 0.11059837255844963, 0.00603040676428499, 0.14794113604567402, 0.12112395772588684, 0.12112395772588684, 0.07346539398648727, 0.16904210037784986, 0.00603040676428499, 0.044559013880672654]","([44], [8], [2], [67])"
0.5,"[0.15090001623411703, 0.04323357849735509, 0.1073085556715932, 0.005851028591271879, 0.14354053559952756, 0.11752105080861805, 0.11752105080861805, 0.07128012047707302, 0.19375945622319907, 0.005851028591271879, 0.04323357849735509]","([45], [2], [2], [69])"
0.5,"[0.14937452957721437, 0.04279651925260627, 0.11633300060565718, 0.005791879054592617, 0.14208944780479854, 0.11633300060565728, 0.11633300060565728, 0.0705595316036995, 0.19180069258291804, 0.005791879054592617, 0.04279651925260627]","([46], [8], [1], [70])"
0.5,"[0.1571885690074669, 0.04503527903222827, 0.12241858063288867, 0.006094862243466498, 0.1495223920350635, 0.12241858063288877, 0.12241858063288877, 0.07425062247235023, 0.1495223920350635, 0.006094862243466498, 0.04503527903222827]","([47], [0], [2], [72])"
0.5,"[0.16854649263158414, 0.04442837309712903, 0.12076883925792443, 0.00601272645684186, 0.14750739336943125, 0.12076883925792455, 0.12076883925792455, 0.07325000374783795, 0.14750739336943125, 0.00601272645684186, 0.04442837309712903]","([48], [0], [2], [74])"
0.5,"[0.17809655408833538, 0.04391806952664561, 0.1193816903352816, 0.005943664378593833, 0.1458131258493364, 0.11938169033528172, 0.11938169033528172, 0.07240865539666773, 0.1458131258493364, 0.005943664378593833, 0.04391806952664561]","([49], [5], [2], [76])"
0.5,"[0.17489031638474645, 0.043127421043265474, 0.11723248493021067, 0.005836661742154983, 0.14318808043973, 0.1352352908800593, 0.11723248493021077, 0.07110509642447209, 0.14318808043973, 0.005836661742154983, 0.043127421043265474]","([50], [0], [1], [77])"
0.5,"[0.15727695930700766, 0.04404804854499192, 0.11973500993893332, 0.005961255125856547, 0.14624467138774866, 0.13812211612897135, 0.11973500993893343, 0.07262295456896001, 0.14624467138774866, 0.005961255125856547, 0.04404804854499192]","([51], [2], [1], [78])"
0.5,"[0.158683698383608, 0.04444202940149662, 0.11186161790021175, 0.006014574636661414, 0.14755273389666415, 0.139357527717277, 0.12080596094193087, 0.07327251918732795, 0.14755273389666415, 0.006014574636661414, 0.04444202940149662]","([52], [8], [1], [79])"
0.5,"[0.1630446157012614, 0.045663377388862836, 0.11493577908784985, 0.006179866112462087, 0.15160775201806895, 0.14318732663271755, 0.12412592898221349, 0.07528618159302543, 0.12412592898221353, 0.006179866112462087, 0.045663377388862836]","([53], [0], [1], [80])"
0.5,"[0.14908349501735096, 0.04642508098085898, 0.1168530046805727, 0.00628295148382723, 0.15413669700396454, 0.145575811831604, 0.1261964540150086, 0.07654201850711816, 0.12619645401500862, 0.00628295148382723, 0.04642508098085898]","([54], [9], [1], [81])"
0.5,"[0.14332992654517454, 0.044633401209609846, 0.11234330517607034, 0.00604047399451592, 0.14818811067531557, 0.13995761512130872, 0.12132616345040442, 0.07358803795797658, 0.12132616345040446, 0.044633401209609846, 0.044633401209609846]","([55], [5], [1], [82])"
0.5,"[0.14605106999731335, 0.04548077405333997, 0.1144761622607012, 0.006155153438329151, 0.15100148759365134, 0.12362956165344562, 0.12362956165344567, 0.0749851195896481, 0.12362956165344573, 0.04548077405333997, 0.04548077405333997]","([56], [0], [1], [83])"
0.5,"[0.13520987743076054, 0.04605816903829135, 0.11592947881833694, 0.006233295352156945, 0.15291850645429161, 0.12519908394888232, 0.1251990839488824, 0.07593708298293302, 0.12519908394888243, 0.04605816903829135, 0.04605816903829135]","([57], [8], [2], [85])"
0.5,"[0.132659342813398, 0.04518934971253866, 0.11374264044145592, 0.006115713442624761, 0.15003392470805954, 0.12283738816347474, 0.12283738816347481, 0.0745046420801692, 0.14170091104972724, 0.04518934971253866, 0.04518934971253866]","([58], [1], [1], [86])"
0.5,"[0.132659342813398, 0.04518934971253866, 0.11374264044145592, 0.006115713442624761, 0.15003392470805954, 0.12283738816347474, 0.12283738816347481, 0.0745046420801692, 0.14170091104972724, 0.04518934971253866, 0.04518934971253866]","([59], [1], [1], [87])"
0.5,"[0.132659342813398, 0.04518934971253866, 0.11374264044145592, 0.006115713442624761, 0.15003392470805954, 0.12283738816347474, 0.12283738816347481, 0.0745046420801692, 0.14170091104972724, 0.04518934971253866, 0.04518934971253866]","([60], [5], [2], [89])"
0.5,"[0.13077155917892147, 0.044546291236363604, 0.1121240473547288, 0.006028684941613906, 0.14789889537900158, 0.13531968445925022, 0.1210893739930516, 0.07344441789219538, 0.1396844630921464, 0.044546291236363604, 0.044546291236363604]","([61], [6], [2], [91])"
0.5,"[0.1273571742911098, 0.04338320818863916, 0.10919654037039689, 0.0058712787679224155, 0.14403732366970365, 0.1317865501252858, 0.14403732366970365, 0.07152681813182137, 0.1360373664081391, 0.04338320818863916, 0.04338320818863916]","([62], [7], [1], [92])"
0.5,"[0.12822999440538482, 0.04368052741654754, 0.10994489975709838, 0.005911516549843088, 0.14502445826973726, 0.13268972619197006, 0.14502445826973726, 0.06516368960600226, 0.1369696747005846, 0.04368052741654754, 0.04368052741654754]","([63], [4], [2], [94])"
0.5,"[0.12563131613217804, 0.04279530833745486, 0.1077167828210138, 0.005791715175047626, 0.16235118728286985, 0.13000066806534544, 0.14208542742491234, 0.06384309792098852, 0.13419388016527997, 0.04279530833745486, 0.04279530833745486]","([64], [0], [1], [95])"
0.5,"[0.11742192158060524, 0.04319711089234998, 0.10872812916303061, 0.005846093237619552, 0.16387549273537713, 0.13122123645463807, 0.14341945888701843, 0.06444251689595643, 0.13545381836870468, 0.04319711089234998, 0.04319711089234998]","([65], [2], [1], [96])"
0.5,"[0.11824224612901664, 0.04349889142879878, 0.10250158998606596, 0.005886934791995147, 0.16502034786774322, 0.13213796478004486, 0.14442140555303462, 0.06489272055349818, 0.1364001160522052, 0.04349889142879878, 0.04349889142879878]","([66], [2], [2], [98])"
0.5,"[0.11729045087005001, 0.04314874552082051, 0.10972603606643953, 0.005839547696364767, 0.16369201057819135, 0.13107431542861156, 0.143258880198529, 0.06437036424019817, 0.13530215835915418, 0.04314874552082051, 0.04314874552082051]","([67], [0], [2], [100])"
0.5,"[0.12437070076618036, 0.042802647643786024, 0.1088459189812353, 0.005792708442148714, 0.16237903017366762, 0.13002296290941256, 0.1421097947800636, 0.06385404687943691, 0.13421689413649696, 0.042802647643786024, 0.042802647643786024]","([68], [10], [1], [101])"
0.5,"[0.12437070076618036, 0.042802647643786024, 0.1088459189812353, 0.005792708442148714, 0.16237903017366762, 0.13002296290941256, 0.1421097947800636, 0.06385404687943691, 0.13421689413649696, 0.042802647643786024, 0.042802647643786024]","([69], [8], [2], [103])"
0.5,"[0.12251110161508569, 0.04216265955388509, 0.10721844742008232, 0.005706095472733912, 0.15995112790403082, 0.12807885075148778, 0.13998495949243367, 0.06289929684072644, 0.1471621418417641, 0.04216265955388509, 0.04216265955388509]","([70], [0], [2], [105])"
0.5,"[0.12892139756774376, 0.04185464981565475, 0.10643518739159394, 0.005664410887570875, 0.15878264124885666, 0.12714319978188066, 0.1389623311481675, 0.062439800306120403, 0.1460870822211022, 0.04185464981565475, 0.04185464981565475]","([71], [0], [2], [107])"
0.5,"[0.13481280224786146, 0.04157157239977044, 0.10571532955169616, 0.005626100525314283, 0.15770873954450645, 0.12628328652015133, 0.13802248102924544, 0.06201749842575971, 0.14509904495615386, 0.04157157239977044, 0.04157157239977044]","([72], [5], [2], [109])"
0.5,"[0.13324857135071652, 0.041089218076543324, 0.10448871618835555, 0.005560820966359937, 0.1558788474346181, 0.1364210082779439, 0.13642100827794396, 0.06129791033335546, 0.14341546294107685, 0.041089218076543324, 0.041089218076543324]","([73], [4], [1], [110])"
0.5,"[0.1369510117823646, 0.04223092174187557, 0.10739203622807685, 0.005715333755279955, 0.13242412478516102, 0.14021159793796384, 0.1402115979379639, 0.06300113205868567, 0.1474004002888776, 0.04223092174187557, 0.04223092174187557]","([74], [0], [2], [112])"
0.5,"[0.14244900912724182, 0.0419618924066022, 0.10670790225873833, 0.005678924593991775, 0.13158052552671093, 0.13931838908921015, 0.1393183890892102, 0.06259978745193484, 0.14646139564315555, 0.0419618924066022, 0.0419618924066022]","([75], [1], [2], [114])"
0.5,"[0.13867408258112293, 0.06735008925476269, 0.10388012202084732, 0.0055284319837966564, 0.12809361591739682, 0.13562642458515659, 0.13562642458515664, 0.060940880865770895, 0.1425801400711978, 0.04084989406739596, 0.04084989406739596]","([76], [0], [1], [115])"
0.5,"[0.13116763932337125, 0.06793704433549494, 0.1047854358234257, 0.0055766121907908535, 0.1292099499787769, 0.1368084069681447, 0.13680840696814475, 0.06147197978552375, 0.14382272398685886, 0.04120590031973417, 0.04120590031973417]","([77], [1], [1], [116])"
0.5,"[0.13202116467495723, 0.061871986169947386, 0.10546728865247439, 0.005612899951288463, 0.13005073638427253, 0.13769863754833778, 0.13769863754833783, 0.061871986169947386, 0.1447585976649259, 0.04147403261775557, 0.04147403261775557]","([78], [1], [1], [117])"
0.5,"[0.1325500807108141, 0.058113566439119316, 0.10588982196646218, 0.005635386897220246, 0.13057175829858444, 0.13825029922845, 0.13825029922845006, 0.06211986374121537, 0.14533854364420612, 0.04164018992273913, 0.04164018992273913]","([79], [2], [1], [118])"
0.5,"[0.13335020851522647, 0.05846436426641714, 0.10049259844297356, 0.005669404452855874, 0.13135994412031654, 0.1390848359393129, 0.13908483593931295, 0.06249484525702519, 0.146215867967201, 0.04189154754967928, 0.04189154754967928]","([80], [5], [1], [119])"
0.5,"[0.13529501629941015, 0.05931702098130856, 0.10195820385807439, 0.005752088252411694, 0.13327572546553998, 0.1265290662016463, 0.14111327874872784, 0.06340628336335061, 0.14834831126339065, 0.042502502783069974, 0.042502502783069974]","([81], [8], [1], [120])"
0.5,"[0.13794875131804613, 0.06048049070905455, 0.10395805620604721, 0.005864912201461886, 0.1358898532396135, 0.12901086208030266, 0.1438811356857588, 0.0646499616536914, 0.13164364636221462, 0.04333616527190474, 0.04333616527190474]","([82], [8], [1], [121])"
0.5,"[0.13988528626175223, 0.061329520385303996, 0.10541742721592773, 0.005947244279943074, 0.137797485217281, 0.1308219262628276, 0.14590094988728933, 0.06555752267657436, 0.11945359457601336, 0.04394452161854379, 0.04394452161854379]","([83], [5], [1], [122])"
0.5,"[0.14149383511093278, 0.06203475202240397, 0.10662962819691194, 0.006015631979592894, 0.13938202632370925, 0.1208271982424215, 0.14757867319405937, 0.06631137235208066, 0.1208271982424217, 0.044449842167733136, 0.044449842167733136]","([84], [10], [1], [123])"
0.5,"[0.14149383511093278, 0.06203475202240397, 0.10662962819691194, 0.006015631979592894, 0.13938202632370925, 0.1208271982424215, 0.14757867319405937, 0.06631137235208066, 0.1208271982424217, 0.044449842167733136, 0.044449842167733136]","([85], [1], [2], [125])"
0.5,"[0.13917287631317882, 0.07742043078766098, 0.10488055571279398, 0.005916956062326677, 0.13709570805414534, 0.11884523946274148, 0.14515790327399844, 0.06522365031153356, 0.11884523946274168, 0.04372072027943962, 0.04372072027943962]","([86], [1], [1], [126])"
0.5,"[0.13991964836547602, 0.072470065051468, 0.1054433224667085, 0.0059487051900236065, 0.1378313344633772, 0.11948293773937715, 0.14593678970795526, 0.06557362654606833, 0.11948293773937738, 0.043955316365084346, 0.043955316365084346]","([87], [2], [1], [127])"
0.5,"[0.14066374894617684, 0.07285546494432199, 0.10068601960754454, 0.005980340739698178, 0.13856432927297732, 0.1201183547404511, 0.14671288978564884, 0.06592235079002967, 0.12011835474045131, 0.04418907321635026, 0.04418907321635026]","([88], [4], [1], [128])"
0.5,"[0.14330718971804376, 0.07422461021401641, 0.10257817399260517, 0.006092727027276962, 0.12237569366927487, 0.12237569366927475, 0.14947000977941638, 0.06716120466077613, 0.12237569366927498, 0.04501950180002045, 0.04501950180002045]","([89], [0], [1], [129])"
0.5,"[0.13634515400599584, 0.0748278070435226, 0.10341179008234233, 0.006142240438196917, 0.1233701971125006, 0.12337019711250048, 0.15068469902797205, 0.06770699972255398, 0.12337019711250069, 0.0453853591709574, 0.0453853591709574]","([90], [2], [1], [130])"
0.5,"[0.13697863345534875, 0.07517546793655391, 0.09924611063699894, 0.0061707781821229764, 0.12394339302183191, 0.12394339302183181, 0.15138480209259547, 0.06802157630735652, 0.12394339302183202, 0.04559622616176397, 0.04559622616176397]","([91], [6], [1], [131])"
